depthft	density_gcc	s_v	hydrostatic_pres	porosity	gradient
4092	2.23	19.877	12.223	0.276	21.854
4093	2.204	19.884	12.226	0.292	21.599
4094	2.194	19.891	12.229	0.298	21.501
4095	2.2	19.897	12.232	0.294	21.56
4096	2.22	19.904	12.235	0.282	21.756
4097	2.224	19.91	12.238	0.28	21.795
4098	2.236	19.917	12.241	0.273	21.913
4099	2.222	19.924	12.244	0.281	21.776
4100	2.23	19.93	12.247	0.276	21.854
4101	2.186	19.937	12.25	0.302	21.423
4102	2.218	19.944	12.253	0.284	21.736
4103	2.21	19.95	12.256	0.288	21.658
4104	2.206	19.957	12.259	0.291	21.619
4105	2.206	19.963	12.262	0.291	21.619
4106	2.186	19.97	12.265	0.302	21.423
4107	2.184	19.976	12.268	0.304	21.403
4108	2.186	19.983	12.271	0.302	21.423
4109	2.178	19.989	12.274	0.307	21.344
4110	2.192	19.996	12.277	0.299	21.482
4111	2.196	20.002	12.28	0.296	21.521
4112	2.198	20.009	12.283	0.295	21.54
